Strike	Nominal	Expiry	Mat
-0.00041499999999999957	 8.0983	 0.5	 1.0
-0.00041499999999999957	 10.4968	 1.0	 1.5
-0.00041499999999999957	 3.1055	 1.0	 2.0
-0.00041499999999999957	 7.1852	 1.5	 2.0
-0.00041499999999999957	 6.5897	 1.5	 2.5
-0.00041499999999999957	 3.4981	 2.0	 2.5
-0.00041499999999999957	 8.1668	 2.0	 3.0
-0.00041499999999999957	 1.7210	 2.5	 3.0
-0.00041499999999999957	 8.1185	 2.5	 3.5
-0.00041499999999999957	 1.5725	 3.0	 3.5
-0.00041499999999999957	 6.6902	 3.0	 4.0
-0.00041499999999999957	 2.8069	 3.5	 4.0
-0.00041499999999999957	 4.0962	 3.5	 4.5
-0.00041499999999999957	 5.2099	 4.0	 4.5
-0.00041499999999999957	 0.5231	 4.0	 5.0
-0.00041499999999999957	 4.7281	 4.5	 5.0
